plot_id,date,visit_year,species_name,stems_100m2
avonpark a1,2017-06-27,2017,Serenoa repens,1
avonpark c1,2017-06-28,2017,Lyonia ferruginea,2
avonpark c1,2017-06-28,2017,Morella cerifera,2
avonpark c1,2017-06-28,2017,Serenoa repens,4
avonpark c1,2017-06-28,2017,NA NA,1
avonpark b1,2017-06-29,2017,Ilex spp.,3
avonpark b1,2017-06-29,2017,Serenoa repens,25
avonpark d1,2017-06-30,2017,Pinus clausa,2
avonpark d1,2017-06-30,2017,Quercus geminata,8
avonpark d1,2017-06-30,2017,Quercus myrtifolia,11
avonpark d1,2017-06-30,2017,Quercus myrtifolia,2
avonpark d1,2017-06-30,2017,Quercus nigra,2
avonpark d1,2017-06-30,2017,Serenoa repens,8
avonpark e2,2018-05-29,2018,Rhus copallinum,1
avonpark e2,2018-05-29,2018,Serenoa repens,2
avonpark e1,2018-05-29,2018,NA NA,0
avonpark a1,2018-05-30,2018,Asimina spp.,1
avonpark a2,2018-05-30,2018,Ilex glabra,1
avonpark a1,2018-05-30,2018,Serenoa repens,6
avonpark a2,2018-05-30,2018,Serenoa repens,10
avonpark g1,2018-05-31,2018,Ilex glabra,43
avonpark c2,2018-05-31,2018,Morella cerifera,9
avonpark c2,2018-05-31,2018,Pinus palustris,1
avonpark c2,2018-05-31,2018,Serenoa repens,41
avonpark f1,2018-05-31,2018,Serenoa repens,1
avonpark c1,2018-05-31,2018,Serenoa repens,10
avonpark i1,2018-06-01,2018,Ilex glabra,39
avonpark h1,2018-06-01,2018,Serenoa repens,3
avonpark i1,2018-06-01,2018,Serenoa repens,9
