installation,plot_id,status,cutoff_deer_plot,cutoff_cow_plot,cutoff_turkey_plot,cutoff_pig_plot,cutoff_raccoon_plot,cutoff_fox_plot,cutoff_wildlife_plot,wildlife_no_cow_plot,camera_days_raw_plot,camera_days_cutoff_plot
avonpark,i1,invaded,27,4,0,0,0,0,31,27,52,52
avonpark,n1,native,0,14,0,0,0,0,14,0,52,52
brown,i1,invaded,60,238,0,0,0,0,298,60,40,24
brown,i2,invaded,43,1,0,0,0,0,44,43,52,52
brown,i3,invaded,0,0,0,0,0,0,0,0,8,8
brown,n1,native,290,106,0,0,0,0,396,290,24,24
brown,n2,native,105,8,0,0,0,0,113,105,52,52
brown,n3,native,40,0,0,0,0,0,40,40,8,8
hancock,i1,invaded,0,112,0,0,0,0,112,0,42,42
hancock,i2,invaded,0,0,0,0,0,0,0,0,20,20
hancock,n1,native,1,5577,1,0,0,0,5579,2,42,20
munson,i1,invaded,131,0,0,0,0,0,131,131,36,36
munson,n1,native,43,0,0,2,0,0,45,45,36,36
peaceriver,i1,invaded,79,0,0,0,0,0,79,79,37,37
peaceriver,i2,invaded,18,0,0,0,0,3,21,21,54,54
peaceriver,i3,invaded,124,0,3,79,5,0,211,211,29,29
riversedge,i1,invaded,0,0,0,0,0,0,0,0,4,4
riversedge,n1,native,0,0,0,0,0,14,14,14,72,4
seay,i1,invaded,11,0,7,0,0,0,18,18,69,69
seay,i2,invaded,0,0,0,0,0,0,0,0,18,18
seay,n1,native,78,0,0,0,0,0,78,78,72,69
seay,n2,native,8,0,0,0,0,0,8,8,18,18
silversprings,i1,invaded,0,0,0,0,0,0,0,0,54,40
silversprings,n1,native,20,0,1,0,0,0,21,21,40,40
wes,i1,invaded,42,0,0,0,0,0,42,42,40,40
wes,i3,invaded,51,0,0,0,0,0,51,51,216,216
wes,n1,native,106,0,301,0,77,30,514,514,284,216
