date,id,green_ht,brown_ht,litter_ht,duff_ht,pct_green,standing_biomass,litter_biomass,flame_ht1,flame_ht2,avg_fuel_ht,avg_flame_ht,location,max_temp,s_abv100,heat_flux_abv100,total_biomass
20170706,fabio naturale,21,20,6,0,25,294.88,266.72,NA,NA,20.5,NaN,0cm,796.404,59,24587.71,561.6
20170706,fabio naturale,21,20,6,0,25,294.88,266.72,NA,NA,20.5,NaN,25cm,558.096,54,12997.41,561.6
20170706,fabio naturale,21,20,6,0,25,294.88,266.72,NA,NA,20.5,NaN,50cm,475.384,47,10480.94,561.6
20170706,flame1,32,26,9,0,25,210.56,254.72,62,77,29,69.5,0cm,692.268,49,15870.96,465.28
20170706,flame1,32,26,9,0,25,210.56,254.72,62,77,29,69.5,25cm,431.964,41,9301.42,465.28
20170706,flame1,32,26,9,0,25,210.56,254.72,62,77,29,69.5,50cm,348.43,39,7793.29,465.28
20170706,flame3,48,38,6,0,25,427.2,240,43,NA,43,43,0cm,735.066,58,16384.7,667.2
20170706,flame3,48,38,6,0,25,427.2,240,43,NA,43,43,25cm,115.02,4,476.89,667.2
20170706,flame4,33,20,6,0,25,293.92,151.36,32,43,26.5,37.5,0cm,663.214,26,8840.23,445.28000000000003
20170706,flame4,33,20,6,0,25,293.92,151.36,32,43,26.5,37.5,25cm,663.214,26,8840.23,445.28000000000003
20170706,flame4,33,20,6,0,25,293.92,151.36,32,43,26.5,37.5,50cm,263.896,31,4939.83,445.28000000000003
20170706,flame6,20,21,4,0,25,329.44,237.76,10,28,20.5,19,0cm,538.104,96,20684.11,567.2
20170706,flame6,20,21,4,0,25,329.44,237.76,10,28,20.5,19,25cm,458.876,48,10613.42,567.2
20170706,flame6,20,21,4,0,25,329.44,237.76,10,28,20.5,19,50cm,72.5,NA,NA,567.2
20170706,flame7,30,25,7,0,25,133.76,305.76,18,2,27.5,10,0cm,800.32,69,22818.81,439.52
20170706,flame7,30,25,7,0,25,133.76,305.76,18,2,27.5,10,25cm,366.324,47,9436.06,439.52
20170706,flame7,30,25,7,0,25,133.76,305.76,18,2,27.5,10,50cm,235.54,41,6190.36,439.52
20170706,flame8,35,42,5,0,25,214.56,302.24,130,128,38.5,129,0cm,662.24,39,13323.77,516.8
20170706,flame8,35,42,5,0,25,214.56,302.24,130,128,38.5,129,25cm,584.24,34,9625.41,516.8
20170706,flame8,35,42,5,0,25,214.56,302.24,130,128,38.5,129,50cm,457.444,38,9090.03,516.8
